team_id,team_name,field_id,field_name,address,city,lat,lon,geocode_query,precision
2278,הפועל פרדסייה,105,פרדסיה,התהילה 24 פרדסיה,פרדסיה,32.3084939,34.9049422,התהילה 24 פרדסיה,street
2289,הפועל עכו,1167,עכו הפועל עכו חדש,שלום הגליל 1 עכו,עכו,32.9195753,35.0920147,שלום הגליל 1 עכו,street
2294,"הפועל ב""ש",1081,באר שבע וסרמיל 4,אצ''ל 6 באר שבע,באר שבע,31.2720302,34.7777836,אצ''ל 6 באר שבע,street
2302,הפועל הוד השרון,284,הוד השרון גני צבי,המחתרות הוד השרון,הוד השרון,32.1443227,34.8774884,המחתרות הוד השרון,street
2303,"הפ' ת""א צחי בן פורת",417,תל אביב וולפסון 2,הלוחמים חולון,חולון,32.0353386,34.7678567,הלוחמים חולון,street
2305,"הפועל ראשל""צ",361,ראשון לציון סופרלנד מערבי סינטטי,יוסף טומי לפיד 8 ראשון לציון,ראשון לציון,31.9776813,34.7524263,יוסף טומי לפיד 8 ראשון לציון,street
2307,הפועל רעננה,363,רעננה פארק צפוני סינטטי,מרטין דרוקר רעננה,רעננה,32.1933115,34.8463327,מרטין דרוקר רעננה,street
2312,הפועל עפולה,1132,עפולה סינטטי,חיים ברלב 2 עפולה,עפולה,32.6271182,35.315469,חיים ברלב 2 עפולה,street
2316,הפועל חדרה  משה,1331,חדרה מתחם אימונים סינטטי,צה''ל 2 חדרה,חדרה,32.4444466,34.9473677,צה''ל 2 חדרה,street
2323,הפועל רעננה 2,363,רעננה פארק צפוני סינטטי,מרטין דרוקר רעננה,רעננה,32.1933115,34.8463327,מרטין דרוקר רעננה,street
2333,הפועל עכו,1167,עכו הפועל עכו חדש,שלום הגליל 1 עכו,עכו,32.9195753,35.0920147,שלום הגליל 1 עכו,street
2345,"הפועל ראשל""צ",361,ראשון לציון סופרלנד מערבי סינטטי,יוסף טומי לפיד 8 ראשון לציון,ראשון לציון,31.9776813,34.7524263,יוסף טומי לפיד 8 ראשון לציון,street
2358,"הפ' פתח תקוה ד""ר בכר",1059,פתח תקוה סירקין אימונים 2 (סינטטי),הרב עובדיה יוסף 3 פתח תקווה,פתח תקווה,32.0813004,34.9065744,הרב עובדיה יוסף 3 פתח תקווה,street
2365,"הפ' פ""ת ע. אופיר",1059,פתח תקוה סירקין אימונים 2 (סינטטי),הרב עובדיה יוסף 3 פתח תקווה,פתח תקווה,32.0813004,34.9065744,הרב עובדיה יוסף 3 פתח תקווה,street
2367,"הפ' ת""א ניסנוב",245,בת ים אצטדיון טוטו,דרך מנחם בגין 7 בת ים,בת ים,31.998446,34.743239,דרך מנחם בגין  בת ים,street
2373,"הפ' ב""ש השלושה",1081,באר שבע וסרמיל 4,אצ''ל 6 באר שבע,באר שבע,31.2720302,34.7777836,אצ''ל 6 באר שבע,street
2381,הפ' ראשל'צ יהודה,158,ראשון לציון אצטדיון הברפלד,יוסף טומי לפיד 8 ראשון לציון,ראשון לציון,31.9776813,34.7524263,יוסף טומי לפיד 8 ראשון לציון,street
2385,"הפועל ק""ש",1198,קרית שמונה סינטטי חדש,תל חי 4 קרית שמונה,קרית שמונה,33.2235285,35.5757816,תל חי 4 קרית שמונה,street
2396,הפ' מחנה יהודה,197,פתח תקוה מחנה יהודה,הנרייטה סולד 46 פתח תקווה,פתח תקווה,32.0766111,34.8933795,הנרייטה סולד 46 פתח תקווה,street
2412,"הפ' כפ""ס ""יובי""",282,כפר סבא אימונים תחתון (סינטטי),התוכנה 9 כפר סבא,כפר סבא,32.177971,34.9258419,התוכנה 9 כפר סבא,street
2414,הפועל מגדל העמק,54,מגדל העמק,האיצטדיון 1 מגדל העמק,מגדל העמק,32.6701517,35.2381416,האיצטדיון 1 מגדל העמק,street
2420,מ.ס. הפועל לוד בני רגב,573,לוד אימונים 1,דרך הרמ''א  לוד,לוד,31.933597,34.889205,דרך הרמ''א  לוד,street
2429,הפועל חדרה,1330,חדרה מתחם אימונים,צה''ל 2 חדרה,חדרה,32.4444466,34.9473677,צה''ל 2 חדרה,street
2440,הפ' מחנה יהודה אברהם בן דוד,197,פתח תקוה מחנה יהודה,הנרייטה סולד 46 פתח תקווה,פתח תקווה,32.0766111,34.8933795,הנרייטה סולד 46 פתח תקווה,street
2441,הפ' רעננה רועי,157,רעננה,ההסתדרות 33 רעננה,רעננה,32.1868102,34.8739162,ההסתדרות 33 רעננה,street
2443,עירוני בית דגן,124,בית דגן,רמז בית דגן,בית דגן,32.0047148,34.8345838,רמז בית דגן,street
2457,"הפ' קרית אונו ""אברום""",28,קרית אונו ישן,קפלן 56 קרית אונו,קרית אונו,32.0627851,34.851488,קפלן 56 קרית אונו,street
2461,"הפ' נחלת יהודה ראשל""צ",153,(סגור)ראשון לציון נחלת יהודה,קיבוץ גלויות ראשון לציון,ראשון לציון,31.9845414,34.804834,קיבוץ גלויות ראשון לציון,street
